id,name,performer,price,time_start,time_end,venue,address,city,postcode,latitude,longitude,tags
138385,Jesper Carlsen: Light and Matter,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 6:00 PM",Sierra Metro,20-22 West Harbour Road,Edinburgh,EH5 1PN,55.981789,-3.22851,Art
139353,Strange Loops,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 5:00 PM",Generator Projects,25-26 Mid Wynd,Dundee,DD1,56.456729,-2.987852,"Art, craig mulholland, group"
139437,RSA: New Contemporaries 2011,,£2 (£1),"Mar 27, 2011 12:00 PM","Mar 27, 2011 5:00 PM",Royal Scottish Academy (RSA),The Mound,Edinburgh,EH2 2EL,55.95187,-3.196429,"Art, architecture, graduates, degree shows, New Contemporaries"
139655,Alina Kisina: City Of Home,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 5:00 PM",Street Level Photoworks,48 King Street,Glasgow,G1 5QP,55.856804,-4.246934,"Art, Photography, Kiev, Ukraine, hometown"
140898,Material Rites,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 8:00 PM",Inspace,Crichton Street,Edinburgh,EH8 9AB,55.94418,-3.18095,"Art, mixed media, Found, diverse"
140935,Black Lodge,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 6:00 PM",Recoat Gallery,323 North Woodside Road,Glasgow,G20 6ND,55.875546,-4.275674,Art
141507,Going Public,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 6:00 PM",Embassy Gallery,Broughton St Lane,Edinburgh,EH1 3LY,55.95752,-3.18608,"Art, embassy, public art"
142223,Andrea Turner,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 5:00 PM",Patriothall Gallery,48 Hamilton Place,Edinburgh,EH3 5AY,55.958626,-3.206774,Art
140566,Big Lunchtime Comedy Chat Show,MGICF,£5,"Mar 27, 2011 1:00 PM","Mar 27, 2011 3:00 PM",Corinthian,191 Ingram Street,Glasgow,G1 1DA,55.859806,-4.25099,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
139780,Whose Lunch Is It Anyway?,,Free,"Mar 27, 2011 1:30 PM","Mar 27, 2011 3:00 PM",The Stand,5 York Place,Edinburgh,EH1 3EB,55.955853,-3.191603,Comedy
140355,Cloudman,,£7 (£6),"Mar 27, 2011 2:00 PM","Mar 27, 2011 3:00 PM",The Pleasance,60 Pleasance,Edinburgh,EH8 9TJ,55.947449,-3.181897,Kids
